location,total_death_count
United States,1082164
Brazil,690312
India,523260
Russia,384379
Mexico,323566
Peru,218323
United Kingdom,211882
Italy,181764
Indonesia,160026
France,159701
Germany,158407
Iran,144645
Colombia,141881
Argentina,130034
Ukraine,118490
Poland,118340
Spain,117111
South Africa,102141
Turkey,101203
Romania,67289
Philippines,64758
Japan,50479
Chile,50296
Canada,48493
Hungary,48287
Vietnam,43181
Czechia,41934
Bulgaria,38053
Malaysia,36738
Greece,34309
Thailand,33360
Belgium,33203
South Korea,30793
Pakistan,30632
Bangladesh,29435
Tunisia,29272
Portugal,25517
Iraq,25366
Egypt,24799
Ecuador,23302
Netherlands,23034
Bolivia,22250
Sweden,21383
Austria,21337
Slovakia,20742
Guatemala,19960
Paraguay,19630
Myanmar,19489
Kazakhstan,19335
Serbia,17415
Croatia,17348
Georgia,16913
Sri Lanka,16805
Morocco,16285
Bosnia and Herzegovina,16227
Australia,15919
Taiwan,14500
Switzerland,14290
Jordan,14122
Nepal,12019
Israel,11895
Moldova,11334
Honduras,11145
Hong Kong,10826
Lebanon,10740
Azerbaijan,9983
North Macedonia,9592
Saudi Arabia,9474
Lithuania,9448
Costa Rica,9050
Armenia,8714
Panama,8533
Cuba,8531
Ireland,8216
Afghanistan,7835
Ethiopia,7572
Uruguay,7541
Denmark,7501
Finland,7264
Belarus,7118
Slovenia,6953
Algeria,6881
Libya,6440
Latvia,6110
Venezuela,5835
Palestine,5708
Kenya,5684
Zimbabwe,5620
Sudan,4991
Dominican Republic,4384
Trinidad and Tobago,4267
Oman,4260
China,4246
El Salvador,4230
Norway,4098
Namibia,4081
Zambia,4019
Uganda,3636
Albania,3594
Kyrgyzstan,3434
Jamaica,3399
Kosovo,3202
Syria,3163
Nigeria,3160
Cambodia,3056
Malawi,2896
Estonia,2799
Montenegro,2791
Botswana,2790
Kuwait,2570
United Arab Emirates,2348
Mozambique,2261
New Zealand,2252
Yemen,2159
Mongolia,2135
Senegal,1993
Cameroon,1965
Angola,1928
Singapore,1706
Uzbekistan,1637
Bahrain,1536
Rwanda,1467
Ghana,1461
Democratic Republic of Congo,1456
Eswatini,1422
Madagascar,1413
Suriname,1393
Somalia,1362
Guyana,1285
Cyprus,1237
Luxembourg,1168
Mauritius,1036
Mauritania,997
Fiji,880
Haiti,861
Tanzania,845
Bahamas,833
Cote d'Ivoire,830
Malta,811
Laos,759
Mali,742
Lesotho,706
Belize,692
Qatar,685
Papua New Guinea,668
French Polynesia,649
Barbados,567
Guinea,464
Congo,417
Cape Verde,413
Saint Lucia,408
Burkina Faso,387
Gambia,372
New Caledonia,314
Niger,314
Maldives,311
Gabon,306
Aruba,296
Curacao,295
Liberia,294
Togo,290
Nicaragua,246
Grenada,237
Brunei,225
Chad,194
Djibouti,189
Iceland,187
Equatorial Guinea,183
Guinea-Bissau,176
Seychelles,171
Benin,163
Comoros,163
Andorra,159
Solomon Islands,154
Bermuda,152
Antigua and Barbuda,146
South Sudan,138
Timor,138
Sierra Leone,126
Tajikistan,125
San Marino,119
Isle of Man,116
Saint Vincent and the Grenadines,116
Central African Republic,113
Gibraltar,110
Eritrea,103
Liechtenstein,88
Sao Tome and Principe,81
Dominica,74
Monaco,68
British Virgin Islands,64
Micronesia (country),61
Saint Kitts and Nevis,46
Bonaire Sint Eustatius and Saba,40
Burundi,38
Cayman Islands,37
Turks and Caicos Islands,36
Samoa,29
Faeroe Islands,28
Greenland,22
Bhutan,21
Marshall Islands,17
Vanuatu,14
Anguilla,13
Kiribati,13
Tonga,12
Montserrat,9
Palau,7
Wallis and Futuna,7
Macao,6
North Korea,6
Cook Islands,1
Nauru,1
Saint Pierre and Miquelon,1
England,0
Falkland Islands,0
Guam,0
Guernsey,0
Jersey,0
Niue,0
Northern Cyprus,0
Northern Ireland,0
Northern Mariana Islands,0
Pitcairn,0
Puerto Rico,0
Saint Helena,0
Scotland,0
Sint Maarten (Dutch part),0
Tokelau,0
Turkmenistan,0
Tuvalu,0
United States Virgin Islands,0
Vatican,0
Wales,0
Western Sahara,0
